"","Status_Checking_Acc","Duration_in_Months","Credit_History","Purposre_Credit_Taken","Credit_Amount","Savings_Acc","Years_At_Present_Employment","Inst_Rt_Income","Marital_Status_Gender","Other_Debtors_Guarantors","Current_Address_Yrs","Property","Age","Other_Inst_Plans","Housing","Num_CC","Job","Dependents","Telephone","Foreign_Worker","Default_On_Payment","predclass"
"1233","A14",12,"A32","A43",2141,"A62","A74","3","A93","A101","1","A124",35,"A143","A152","1","A173","1","A191","A201","0",0
"1237","A12",6,"A32","A40",12000,"A65","A71","1","A93","A101","2","A122",23,"A143","A152","1","A171","1","A192","A201","1",1
"1240","A11",30,"A32","A43",2522,"A61","A75","1","A93","A103","3","A122",39,"A143","A152","1","A173","2","A191","A201","0",0
"1242","A14",6,"A32","A43",1595,"A61","A74","3","A93","A101","2","A122",51,"A143","A152","1","A173","2","A191","A201","0",0
"1244","A14",12,"A34","A49",1185,"A61","A73","3","A92","A101","2","A121",27,"A143","A152","2","A173","1","A191","A201","0",0
"1250","A14",18,"A32","A43",433,"A61","A71","3","A92","A102","4","A121",22,"A143","A151","1","A173","1","A191","A201","1",0
"1252","A13",12,"A32","A42",2251,"A61","A73","1","A92","A101","2","A123",46,"A143","A152","1","A172","1","A191","A201","0",0
"1253","A12",30,"A32","A40",2150,"A61","A73","4","A92","A103","2","A124",24,"A141","A152","1","A173","1","A191","A201","1",1
"1255","A12",9,"A32","A42",2030,"A65","A74","2","A93","A101","1","A123",24,"A143","A152","1","A173","1","A192","A201","0",0
"1259","A14",15,"A32","A41",3812,"A62","A72","1","A92","A101","4","A123",23,"A143","A152","1","A173","1","A192","A201","0",0
"1260","A14",11,"A34","A43",1154,"A62","A71","4","A92","A101","4","A121",57,"A143","A152","3","A172","1","A191","A201","0",0
"1261","A11",12,"A32","A42",1657,"A61","A73","2","A93","A101","2","A121",27,"A143","A152","1","A173","1","A191","A201","0",1
"1270","A14",24,"A32","A43",999,"A65","A75","4","A93","A101","2","A123",25,"A143","A152","2","A173","1","A191","A201","0",0
"1272","A14",12,"A34","A42",1402,"A63","A74","3","A92","A101","4","A123",37,"A143","A151","1","A173","1","A192","A201","0",0
"1282","A14",12,"A32","A42",1574,"A61","A73","4","A93","A101","2","A121",50,"A143","A152","1","A173","1","A191","A201","0",0
"1290","A11",24,"A33","A43",1024,"A61","A72","4","A94","A101","4","A121",48,"A142","A152","1","A173","1","A191","A201","1",1
"1292","A12",36,"A32","A41",9398,"A61","A72","1","A94","A101","4","A123",28,"A143","A151","1","A174","1","A192","A201","1",1
"1294","A13",42,"A34","A41",4796,"A61","A75","4","A93","A101","4","A124",56,"A143","A153","1","A173","1","A191","A201","0",0
"1295","A14",48,"A34","A49",7629,"A65","A75","4","A91","A101","2","A123",46,"A141","A152","2","A174","2","A191","A201","0",1
"1296","A12",48,"A32","A42",9960,"A61","A72","1","A92","A101","2","A123",26,"A143","A152","1","A173","1","A192","A201","1",1
"1297","A14",12,"A32","A41",4675,"A65","A72","1","A92","A101","4","A123",20,"A143","A151","1","A173","1","A191","A201","0",0
"1305","A14",48,"A34","A40",10127,"A63","A73","2","A93","A101","2","A124",44,"A141","A153","1","A173","1","A191","A201","1",1
"1306","A14",6,"A32","A42",1543,"A64","A73","4","A91","A101","2","A121",33,"A143","A152","1","A173","1","A191","A201","0",0
"1307","A14",30,"A32","A41",4811,"A65","A74","2","A92","A101","4","A122",24,"A142","A151","1","A172","1","A191","A201","0",0
"1308","A11",12,"A32","A43",727,"A62","A72","4","A94","A101","3","A124",33,"A143","A152","1","A172","1","A192","A201","1",1
"1314","A12",12,"A32","A40",685,"A61","A74","2","A94","A101","3","A123",25,"A141","A152","1","A172","1","A191","A201","1",1
"1316","A11",36,"A31","A42",2746,"A61","A75","4","A93","A101","4","A123",31,"A141","A152","1","A173","1","A191","A201","1",1
"1318","A12",24,"A32","A42",4351,"A65","A73","1","A92","A101","4","A122",48,"A143","A152","1","A172","1","A192","A201","0",1
"1322","A11",24,"A32","A43",1938,"A61","A72","4","A91","A101","3","A122",32,"A143","A152","1","A173","1","A191","A201","1",1
"1323","A11",24,"A32","A41",2910,"A61","A74","2","A93","A101","1","A124",34,"A143","A153","1","A174","1","A192","A201","0",0
"1327","A14",12,"A34","A42",5801,"A65","A75","2","A93","A101","4","A122",49,"A143","A151","1","A173","1","A192","A201","0",0
"1334","A14",48,"A34","A41",11590,"A62","A73","2","A92","A101","4","A123",24,"A141","A151","2","A172","1","A191","A201","1",1
"1335","A11",24,"A30","A42",4110,"A61","A75","3","A93","A101","4","A124",23,"A141","A151","2","A173","2","A191","A201","1",1
"1336","A11",6,"A34","A42",3384,"A61","A73","1","A91","A101","4","A121",44,"A143","A151","1","A174","1","A192","A201","1",1
"1338","A11",15,"A32","A44",1275,"A65","A73","4","A92","A101","2","A123",24,"A143","A151","1","A173","1","A191","A201","1",1
"1340","A12",10,"A32","A42",1521,"A61","A73","4","A91","A101","2","A123",31,"A143","A152","1","A172","1","A191","A201","0",1
"1341","A12",24,"A34","A46",5743,"A61","A72","2","A92","A101","4","A124",24,"A143","A153","2","A173","1","A192","A201","0",1
"1343","A12",18,"A32","A43",3213,"A63","A72","1","A94","A101","3","A121",25,"A143","A151","1","A173","1","A191","A201","0",1
"1351","A14",9,"A32","A44",1236,"A61","A72","1","A92","A101","4","A121",23,"A143","A151","1","A173","1","A192","A201","0",0
"1358","A14",36,"A33","A43",4463,"A61","A73","4","A93","A101","2","A123",26,"A143","A152","2","A174","1","A192","A201","1",0
"1362","A13",12,"A32","A43",3399,"A65","A75","2","A93","A101","3","A123",37,"A143","A152","1","A174","1","A191","A201","0",0
"1365","A11",18,"A32","A42",2473,"A61","A71","4","A93","A101","1","A123",25,"A143","A152","1","A171","1","A191","A201","1",1
"1368","A11",18,"A32","A42",3650,"A61","A72","1","A92","A101","4","A123",22,"A143","A151","1","A173","1","A191","A201","0",1
"1369","A11",36,"A32","A42",3446,"A61","A75","4","A93","A101","2","A123",42,"A143","A152","1","A173","2","A191","A201","1",1
"1371","A14",36,"A32","A40",3079,"A65","A73","4","A93","A101","4","A121",36,"A143","A152","1","A173","1","A191","A201","0",0
"1378","A14",7,"A33","A43",846,"A65","A75","3","A93","A101","4","A124",36,"A143","A153","1","A173","1","A191","A201","0",0
"1380","A14",6,"A34","A40",362,"A62","A73","4","A92","A101","4","A123",52,"A143","A152","2","A172","1","A191","A201","0",0
"1386","A14",18,"A34","A43",2238,"A61","A73","2","A92","A101","1","A123",25,"A143","A152","2","A173","1","A191","A201","0",0
"1388","A12",18,"A34","A42",7374,"A61","A71","4","A93","A101","4","A122",40,"A142","A152","2","A174","1","A192","A201","0",1
"1390","A14",9,"A32","A49",1449,"A61","A74","3","A92","A101","2","A123",27,"A143","A152","2","A173","1","A191","A201","0",0
"1392","A12",12,"A32","A42",983,"A64","A72","1","A92","A101","4","A121",19,"A143","A151","1","A172","1","A191","A201","0",0
"1397","A11",12,"A32","A42",2578,"A61","A71","3","A92","A101","4","A124",55,"A143","A153","1","A174","1","A191","A201","0",1
"1399","A12",12,"A32","A40",1223,"A61","A75","1","A91","A101","1","A121",46,"A143","A151","2","A173","1","A191","A201","1",1
"1405","A12",18,"A33","A40",2899,"A65","A75","4","A93","A101","4","A123",43,"A143","A152","1","A173","2","A191","A201","0",0
"1406","A12",24,"A32","A43",2039,"A61","A72","1","A94","A101","1","A122",22,"A143","A152","1","A173","1","A192","A201","1",1
"1409","A14",24,"A32","A43",3235,"A63","A75","3","A91","A101","2","A123",26,"A143","A152","1","A174","1","A192","A201","0",0
"1412","A14",33,"A34","A41",7253,"A61","A74","3","A93","A101","2","A123",35,"A143","A152","2","A174","1","A192","A201","0",0
"1420","A12",18,"A32","A40",1042,"A65","A73","4","A92","A101","2","A122",33,"A143","A152","1","A173","1","A191","A201","1",1
"1424","A14",21,"A33","A42",1591,"A62","A74","4","A93","A101","3","A121",34,"A143","A152","2","A174","1","A191","A201","0",0
"1425","A12",12,"A32","A42",2762,"A65","A75","1","A92","A101","2","A122",25,"A141","A152","1","A173","1","A192","A201","1",1
"1427","A14",28,"A34","A43",2743,"A61","A75","4","A93","A101","2","A123",29,"A143","A152","2","A173","1","A191","A201","0",0
"1435","A11",9,"A32","A42",2136,"A61","A73","3","A93","A101","2","A121",25,"A143","A152","1","A173","1","A191","A201","0",1
"1441","A14",12,"A32","A40",1884,"A61","A75","4","A93","A101","4","A123",39,"A143","A152","1","A174","1","A192","A201","0",0
"1442","A11",12,"A32","A42",1620,"A61","A73","2","A92","A102","3","A122",30,"A143","A152","1","A173","1","A191","A201","0",1
"1453","A14",12,"A30","A42",2759,"A61","A75","2","A93","A101","4","A122",34,"A143","A152","2","A173","1","A191","A201","0",0
"1459","A11",6,"A32","A44",343,"A61","A72","4","A92","A101","1","A121",27,"A143","A152","1","A173","1","A191","A201","0",1
"1463","A12",12,"A32","A42",3017,"A61","A72","3","A92","A101","1","A121",34,"A143","A151","1","A174","1","A191","A201","0",1
"1467","A11",24,"A33","A43",1659,"A61","A72","4","A92","A101","2","A123",29,"A143","A151","1","A172","1","A192","A201","1",1
"1480","A11",15,"A34","A42",1478,"A61","A75","4","A93","A101","4","A123",44,"A143","A152","2","A173","2","A192","A201","0",1
"1484","A14",15,"A33","A42",960,"A64","A74","3","A92","A101","2","A122",30,"A143","A152","2","A173","1","A191","A201","0",0
"1486","A12",6,"A33","A40",1209,"A61","A71","4","A93","A101","4","A122",47,"A143","A152","1","A174","1","A192","A201","1",0
"1489","A14",10,"A32","A40",1418,"A62","A73","3","A93","A101","2","A121",35,"A143","A151","1","A172","1","A191","A202","0",0
"1490","A14",6,"A32","A40",3518,"A61","A73","2","A93","A103","3","A122",26,"A143","A151","1","A173","1","A191","A201","0",0
"1495","A11",12,"A34","A40",2122,"A61","A73","3","A93","A101","2","A121",39,"A143","A151","2","A172","2","A191","A202","0",0
"1496","A11",24,"A32","A42",2996,"A65","A73","2","A94","A101","4","A123",20,"A143","A152","1","A173","1","A191","A201","1",1
"1497","A12",36,"A32","A42",9034,"A62","A72","4","A93","A102","1","A124",29,"A143","A151","1","A174","1","A192","A201","1",1
"1499","A12",18,"A32","A43",1301,"A61","A75","4","A94","A103","2","A121",32,"A143","A152","1","A172","1","A191","A201","0",0
"1501","A11",24,"A32","A40",3123,"A61","A72","4","A92","A101","1","A122",27,"A143","A152","1","A173","1","A191","A201","1",1
"1507","A13",15,"A34","A41",2360,"A63","A73","2","A93","A101","2","A123",36,"A143","A152","1","A173","1","A192","A201","0",0
"1515","A14",24,"A32","A40",2255,"A65","A72","4","A93","A101","1","A122",54,"A143","A152","1","A173","1","A191","A201","0",0
"1516","A11",6,"A34","A40",609,"A61","A74","4","A92","A101","3","A122",37,"A143","A152","2","A173","1","A191","A202","0",0
"1517","A11",6,"A34","A40",1361,"A61","A72","2","A93","A101","4","A121",40,"A143","A152","1","A172","2","A191","A202","0",0
"1521","A14",24,"A34","A45",5507,"A61","A75","3","A93","A101","4","A124",44,"A143","A153","2","A173","1","A191","A201","0",0
"1523","A11",48,"A30","A42",7119,"A61","A73","3","A93","A101","4","A124",53,"A143","A153","2","A173","2","A191","A201","1",1
"1526","A12",26,"A32","A41",7966,"A61","A72","2","A93","A101","3","A123",30,"A143","A152","2","A173","1","A191","A201","0",1
"1528","A14",4,"A34","A43",1503,"A61","A74","2","A93","A101","1","A121",42,"A143","A152","2","A172","2","A191","A201","0",0
"1530","A11",6,"A32","A40",662,"A61","A72","3","A93","A101","4","A121",41,"A143","A152","1","A172","2","A192","A201","0",1
"1531","A12",36,"A32","A46",2273,"A61","A74","3","A93","A101","1","A123",32,"A143","A152","2","A173","2","A191","A201","0",1
"1539","A11",48,"A32","A40",7763,"A61","A75","4","A93","A101","4","A124",42,"A141","A153","1","A174","1","A191","A201","1",1
"1540","A13",18,"A32","A42",3049,"A61","A72","1","A92","A101","1","A122",45,"A142","A152","1","A172","1","A191","A201","0",1
"1541","A12",12,"A32","A43",1534,"A61","A72","1","A94","A101","1","A121",23,"A143","A151","1","A173","1","A191","A201","1",1
"1547","A14",24,"A34","A40",2022,"A61","A73","4","A92","A101","4","A123",37,"A143","A152","1","A173","1","A192","A201","0",0
"1551","A14",12,"A34","A45",996,"A65","A74","4","A92","A101","4","A121",23,"A143","A152","2","A173","1","A191","A201","0",0
"1554","A12",12,"A34","A40",1995,"A62","A72","4","A93","A101","1","A123",27,"A143","A152","1","A173","1","A191","A201","0",0
"1557","A12",18,"A30","A40",2278,"A62","A72","3","A92","A101","3","A123",28,"A143","A152","2","A173","1","A191","A201","1",1
"1560","A12",18,"A34","A42",1928,"A61","A72","2","A93","A101","2","A121",31,"A143","A152","2","A172","1","A191","A201","1",0
"1566","A12",24,"A33","A43",1553,"A62","A74","3","A92","A101","2","A122",23,"A143","A151","2","A173","1","A192","A201","0",1
"1573","A14",24,"A32","A41",5433,"A65","A71","2","A92","A101","4","A122",26,"A143","A151","1","A174","1","A192","A201","0",0
"1577","A12",12,"A32","A43",2930,"A61","A74","2","A92","A101","1","A121",27,"A143","A152","1","A173","1","A191","A201","0",0
"1581","A12",18,"A34","A40",1056,"A61","A75","3","A93","A103","3","A121",30,"A141","A152","2","A173","1","A191","A201","1",1
"1582","A12",12,"A34","A40",3124,"A61","A72","1","A93","A101","3","A121",49,"A141","A152","2","A172","2","A191","A201","0",1
"1584","A12",36,"A32","A45",2384,"A61","A72","4","A93","A101","1","A124",33,"A143","A151","1","A172","1","A191","A201","1",1
"1587","A11",9,"A34","A40",2799,"A61","A73","2","A93","A101","2","A121",36,"A143","A151","2","A173","2","A191","A201","0",1
"1593","A14",21,"A32","A49",1572,"A64","A75","4","A92","A101","4","A121",36,"A141","A152","1","A172","1","A191","A201","0",0
"1594","A12",24,"A32","A40",2718,"A61","A73","3","A92","A101","4","A122",20,"A143","A151","1","A172","1","A192","A201","1",1
"1597","A11",24,"A32","A40",1442,"A61","A74","4","A92","A101","4","A123",23,"A143","A151","2","A173","1","A191","A201","1",1
"1609","A14",18,"A32","A43",2051,"A61","A72","4","A93","A101","1","A121",33,"A143","A152","1","A173","1","A191","A201","0",0
"1616","A12",48,"A30","A49",12000,"A65","A73","2","A93","A101","2","A123",48,"A141","A152","1","A174","1","A192","A201","0",1
"1618","A11",6,"A34","A40",3676,"A61","A73","1","A93","A101","3","A121",37,"A143","A151","3","A173","2","A191","A201","0",1
"1621","A12",21,"A34","A49",3652,"A61","A74","2","A93","A101","3","A122",27,"A143","A152","2","A173","1","A191","A201","0",0
"1623","A14",48,"A32","A49",3914,"A65","A73","4","A91","A101","2","A121",38,"A141","A152","1","A173","1","A191","A201","1",1
"1625","A11",18,"A32","A43",2600,"A61","A73","4","A93","A101","4","A124",65,"A143","A153","2","A173","1","A191","A201","1",1
"1626","A14",15,"A32","A43",1979,"A65","A75","4","A93","A101","2","A123",35,"A143","A152","1","A173","1","A191","A201","0",0
"1628","A12",9,"A31","A40",1437,"A62","A74","2","A93","A101","3","A124",29,"A143","A152","1","A173","1","A191","A201","1",0
"1630","A14",9,"A32","A46",3832,"A65","A75","1","A93","A101","4","A121",64,"A143","A152","1","A172","1","A191","A201","0",0
"1632","A11",18,"A31","A42",1553,"A61","A73","4","A93","A101","3","A123",44,"A141","A152","1","A173","1","A191","A201","1",1
"1635","A12",24,"A32","A40",1355,"A61","A72","3","A92","A101","4","A123",25,"A143","A152","1","A172","1","A192","A201","1",1
"1643","A14",15,"A32","A46",4623,"A62","A73","3","A93","A101","2","A122",40,"A143","A152","1","A174","1","A192","A201","1",0
"1651","A11",48,"A32","A46",7476,"A61","A74","4","A93","A101","1","A124",50,"A143","A153","1","A174","1","A192","A201","0",1
"1661","A13",12,"A32","A43",1297,"A61","A73","3","A94","A101","4","A121",23,"A143","A151","1","A173","1","A191","A201","0",0
"1667","A12",30,"A31","A42",3496,"A64","A73","4","A93","A101","2","A123",34,"A142","A152","1","A173","2","A192","A201","0",1
"1669","A11",12,"A34","A40",4843,"A61","A75","3","A93","A102","4","A122",43,"A143","A151","2","A173","1","A192","A201","1",1
"1671","A14",24,"A34","A49",4139,"A62","A73","3","A93","A101","3","A122",27,"A143","A152","2","A172","1","A192","A201","0",0
"1683","A14",15,"A33","A43",1478,"A61","A73","4","A94","A101","3","A121",33,"A141","A152","2","A173","1","A191","A201","0",0
"1687","A13",10,"A34","A43",1347,"A65","A74","4","A93","A101","2","A122",27,"A143","A152","2","A173","1","A192","A201","0",0
"1694","A11",6,"A34","A40",4716,"A65","A72","1","A93","A101","3","A121",44,"A143","A152","2","A172","2","A191","A201","0",0
"1695","A14",24,"A32","A43",2284,"A61","A74","4","A93","A101","2","A123",28,"A143","A152","1","A173","1","A192","A201","0",0
"1704","A12",30,"A33","A49",2503,"A62","A75","4","A93","A101","2","A122",41,"A142","A152","2","A173","1","A191","A201","0",1
"1710","A12",9,"A32","A43",2118,"A61","A73","2","A93","A101","2","A121",37,"A143","A152","1","A172","2","A191","A201","0",0
"1713","A14",21,"A32","A41",2476,"A65","A75","4","A93","A101","4","A121",46,"A143","A152","1","A174","1","A192","A201","0",0
"1716","A14",30,"A34","A41",7596,"A65","A75","1","A93","A101","4","A123",63,"A143","A152","2","A173","1","A191","A201","0",0
"1717","A14",30,"A34","A43",3077,"A65","A75","3","A93","A101","2","A123",40,"A143","A152","2","A173","2","A192","A201","0",0
"1719","A13",24,"A34","A43",3148,"A65","A73","3","A93","A101","2","A123",31,"A143","A152","2","A173","1","A192","A201","0",0
"1721","A13",9,"A30","A43",1337,"A61","A72","4","A93","A101","2","A123",34,"A143","A152","2","A174","1","A192","A201","1",0
"1724","A12",9,"A32","A43",790,"A63","A73","4","A92","A101","3","A121",66,"A143","A152","1","A172","1","A191","A201","0",1
"1726","A14",6,"A34","A40",250,"A64","A73","2","A92","A101","2","A121",41,"A141","A152","2","A172","1","A191","A201","0",0
"1730","A13",24,"A34","A49",1275,"A64","A73","2","A91","A101","4","A121",36,"A143","A152","2","A173","1","A192","A201","0",0
"1731","A12",24,"A33","A43",6403,"A61","A72","1","A93","A101","2","A123",33,"A143","A152","1","A173","1","A191","A201","0",0
"1734","A14",24,"A32","A41",2603,"A64","A73","2","A92","A101","4","A123",28,"A143","A151","1","A173","1","A192","A201","0",0
"1737","A12",24,"A32","A41",11560,"A61","A73","1","A92","A101","4","A123",23,"A143","A151","2","A174","1","A191","A201","1",1
"1738","A11",18,"A32","A40",4380,"A62","A73","3","A93","A101","4","A123",35,"A143","A152","1","A172","2","A192","A201","0",1
"1739","A14",6,"A34","A40",6761,"A61","A74","1","A93","A101","3","A124",45,"A143","A152","2","A174","2","A192","A201","0",0
"1742","A12",10,"A31","A43",1048,"A61","A73","4","A93","A101","4","A121",23,"A142","A152","1","A172","1","A191","A201","0",1
"1743","A14",21,"A32","A43",3160,"A65","A75","4","A93","A101","3","A122",41,"A143","A152","1","A173","1","A192","A201","0",0
"1746","A11",13,"A34","A49",1797,"A61","A72","3","A93","A101","1","A122",28,"A141","A152","2","A172","1","A191","A201","0",1
"1747","A11",15,"A32","A40",2511,"A61","A71","1","A92","A101","4","A123",23,"A143","A151","1","A173","1","A191","A201","0",1
"1751","A11",6,"A32","A42",428,"A61","A75","2","A92","A101","1","A122",49,"A141","A152","1","A173","1","A192","A201","0",1
"1752","A11",18,"A32","A40",976,"A61","A72","1","A92","A101","2","A123",23,"A143","A152","1","A172","1","A191","A201","1",1
"1755","A14",12,"A33","A45",1555,"A64","A75","4","A93","A101","4","A124",55,"A143","A153","2","A173","2","A191","A201","1",0
"1756","A11",24,"A32","A40",1285,"A65","A74","4","A92","A101","4","A124",32,"A143","A151","1","A173","1","A191","A201","1",1
"1757","A13",6,"A34","A40",1299,"A61","A73","1","A93","A101","1","A121",74,"A143","A152","3","A171","2","A191","A202","0",0
"1758","A13",15,"A34","A43",1271,"A65","A73","3","A93","A101","4","A124",39,"A143","A153","2","A173","1","A192","A201","1",0
"1763","A11",12,"A32","A43",2214,"A61","A73","4","A93","A101","3","A122",24,"A143","A152","1","A172","1","A191","A201","0",1
"1764","A14",21,"A34","A40",12000,"A65","A75","4","A93","A101","4","A124",30,"A143","A153","1","A174","1","A192","A201","1",0
"1768","A14",10,"A32","A41",2901,"A65","A72","1","A92","A101","4","A121",31,"A143","A151","1","A173","1","A191","A201","0",0
"1769","A12",12,"A34","A42",3617,"A61","A75","1","A93","A101","4","A123",28,"A143","A151","3","A173","1","A192","A201","0",0
"1770","A14",12,"A34","A43",1655,"A61","A75","2","A93","A101","4","A121",63,"A143","A152","2","A172","1","A192","A201","0",0
"1773","A14",21,"A34","A41",3275,"A61","A75","1","A93","A101","4","A123",36,"A143","A152","1","A174","1","A192","A201","0",0
"1774","A14",24,"A34","A43",2223,"A62","A75","4","A93","A101","4","A122",52,"A141","A152","2","A173","1","A191","A201","0",0
"1777","A14",36,"A34","A40",3535,"A61","A74","4","A93","A101","4","A123",37,"A143","A152","2","A173","1","A192","A201","0",0
"1778","A11",18,"A32","A43",3509,"A61","A74","4","A92","A103","1","A121",25,"A143","A152","1","A173","1","A191","A201","0",0
"1784","A12",12,"A32","A40",836,"A62","A72","4","A92","A101","2","A122",23,"A141","A152","1","A172","1","A191","A201","1",1
"1786","A12",18,"A32","A49",1941,"A64","A73","4","A93","A101","2","A122",35,"A143","A152","1","A172","1","A192","A201","0",0
"1790","A11",40,"A34","A46",5998,"A61","A73","4","A93","A101","3","A124",27,"A141","A152","1","A173","1","A192","A201","1",1
"1791","A12",21,"A32","A49",1188,"A61","A75","2","A92","A101","4","A122",39,"A143","A152","1","A173","2","A191","A201","1",1
"1795","A14",24,"A32","A42",3062,"A63","A75","4","A93","A101","3","A124",32,"A143","A151","1","A173","1","A192","A201","0",1
"1796","A14",9,"A32","A42",2301,"A62","A72","2","A92","A101","4","A122",22,"A143","A151","1","A173","1","A191","A201","0",0
"1797","A11",18,"A32","A41",7511,"A65","A75","1","A93","A101","4","A122",51,"A143","A153","1","A173","2","A192","A201","1",0
"1798","A14",12,"A34","A42",1258,"A61","A72","2","A92","A101","4","A122",22,"A143","A151","2","A172","1","A191","A201","0",0
"1800","A12",9,"A32","A40",1549,"A65","A72","4","A93","A101","2","A121",35,"A143","A152","1","A171","1","A191","A201","0",0
"1803","A11",20,"A34","A42",4272,"A61","A75","1","A92","A101","4","A122",24,"A143","A152","2","A173","1","A191","A201","0",1
"1804","A14",12,"A34","A43",976,"A65","A75","4","A93","A101","4","A123",35,"A143","A152","2","A173","1","A191","A201","0",0
"1805","A12",12,"A32","A40",7472,"A65","A71","1","A92","A101","2","A121",24,"A143","A151","1","A171","1","A191","A201","0",1
"1806","A11",36,"A32","A40",9271,"A61","A74","2","A93","A101","1","A123",24,"A143","A152","1","A173","1","A192","A201","1",1
"1810","A12",15,"A30","A40",1778,"A61","A72","2","A92","A101","1","A121",26,"A143","A151","2","A171","1","A191","A201","1",1
"1812","A12",6,"A32","A43",484,"A61","A74","3","A94","A103","3","A121",28,"A141","A152","1","A172","1","A191","A201","0",0
"1814","A11",48,"A32","A44",3051,"A61","A73","3","A93","A101","4","A123",54,"A143","A152","1","A173","1","A191","A201","1",1
"1815","A11",48,"A32","A40",3931,"A61","A74","4","A93","A101","4","A124",46,"A143","A153","1","A173","2","A191","A201","1",1
"1818","A14",6,"A34","A43",1554,"A61","A74","1","A92","A101","2","A123",24,"A143","A151","2","A173","1","A192","A201","0",0
"1832","A11",18,"A32","A40",1216,"A61","A72","4","A92","A101","3","A123",23,"A143","A151","1","A173","1","A192","A201","1",1
"1833","A11",45,"A30","A49",11816,"A61","A75","2","A93","A101","4","A123",29,"A143","A151","2","A173","1","A191","A201","1",1
"1834","A12",24,"A32","A43",5084,"A65","A75","2","A92","A101","4","A123",42,"A143","A152","1","A173","1","A192","A201","0",0
"1836","A11",12,"A30","A40",1082,"A61","A73","4","A93","A101","4","A123",48,"A141","A152","2","A173","1","A191","A201","1",1
"1837","A14",12,"A32","A43",886,"A65","A73","4","A92","A101","2","A123",21,"A143","A152","1","A173","1","A191","A201","0",0
"1839","A11",24,"A34","A41",2957,"A61","A75","4","A93","A101","4","A122",63,"A143","A152","2","A173","1","A192","A201","0",0
"1841","A11",36,"A32","A42",5179,"A61","A74","4","A93","A101","2","A122",29,"A143","A152","1","A173","1","A191","A201","1",1
"1844","A14",24,"A31","A49",1559,"A61","A74","4","A93","A101","4","A123",50,"A141","A152","1","A173","1","A192","A201","0",0
"1845","A14",18,"A32","A42",3422,"A61","A75","4","A93","A101","4","A122",47,"A141","A152","3","A173","2","A192","A201","0",0
"1846","A12",21,"A32","A42",3976,"A65","A74","2","A93","A101","3","A123",35,"A143","A152","1","A173","1","A192","A201","0",0
"1847","A14",18,"A32","A40",6761,"A65","A73","2","A93","A101","4","A123",68,"A143","A151","2","A173","1","A191","A201","1",0
"1849","A11",9,"A32","A43",1364,"A61","A74","3","A93","A101","4","A121",59,"A143","A152","1","A173","1","A191","A201","0",0
"1851","A11",20,"A34","A40",2235,"A61","A73","4","A94","A103","2","A122",33,"A141","A151","2","A173","1","A191","A202","1",1
"1854","A11",18,"A31","A40",1442,"A61","A74","4","A93","A101","4","A124",32,"A143","A153","2","A172","2","A191","A201","1",1
"1856","A14",24,"A32","A40",1474,"A62","A72","4","A94","A101","3","A121",33,"A143","A152","1","A173","1","A192","A201","0",1
"1858","A14",15,"A34","A42",3343,"A61","A73","4","A93","A101","2","A124",28,"A143","A153","1","A173","1","A192","A201","0",0
"1861","A14",24,"A34","A41",5804,"A64","A73","4","A93","A101","2","A121",27,"A143","A152","2","A173","1","A191","A201","0",0
"1863","A11",24,"A32","A43",2439,"A61","A72","4","A92","A101","4","A121",35,"A143","A152","1","A173","1","A192","A201","1",1
"1867","A11",18,"A32","A43",2389,"A61","A72","4","A92","A101","1","A123",27,"A142","A152","1","A173","1","A191","A201","0",1
"1868","A14",12,"A34","A42",3331,"A61","A75","2","A93","A101","4","A122",42,"A142","A152","1","A173","1","A191","A201","0",0
"1869","A14",36,"A32","A49",7409,"A65","A75","3","A93","A101","2","A122",37,"A143","A152","2","A173","1","A191","A201","0",0
"1872","A13",6,"A34","A40",1343,"A61","A75","1","A93","A101","4","A121",46,"A143","A152","2","A173","2","A191","A202","0",0
"1874","A14",15,"A32","A44",874,"A65","A72","4","A92","A101","1","A121",24,"A143","A152","1","A173","1","A191","A201","0",0
"1880","A14",30,"A34","A43",6742,"A65","A74","2","A93","A101","3","A122",36,"A143","A152","2","A173","1","A191","A201","0",0
"1883","A12",30,"A34","A40",2181,"A65","A75","4","A93","A101","4","A121",36,"A143","A152","2","A173","1","A191","A201","0",0
"1885","A12",24,"A32","A42",4057,"A61","A74","3","A91","A101","3","A123",43,"A143","A152","1","A173","1","A192","A201","1",1
"1886","A11",12,"A32","A46",795,"A61","A72","4","A92","A101","4","A122",53,"A143","A152","1","A173","1","A191","A201","1",1
"1888","A12",48,"A32","A49",12000,"A61","A73","2","A93","A101","2","A123",23,"A143","A152","1","A173","1","A192","A201","1",1
"1889","A14",36,"A34","A40",6614,"A61","A75","4","A93","A101","4","A123",34,"A143","A152","2","A174","1","A192","A201","0",1
"1895","A14",18,"A34","A43",1169,"A65","A73","4","A93","A101","3","A122",29,"A143","A152","2","A173","1","A192","A201","0",0
"1898","A14",12,"A34","A42",1592,"A64","A74","3","A92","A101","2","A122",35,"A143","A152","1","A173","1","A191","A202","0",0
"1900","A11",18,"A32","A42",4153,"A61","A73","2","A93","A102","3","A123",42,"A143","A152","1","A173","1","A191","A201","1",1
"1901","A11",16,"A34","A40",2625,"A61","A75","2","A93","A103","4","A122",43,"A141","A151","1","A173","1","A192","A201","1",0
